yc,xc1,xc2,xc3,tc1,tc2
3180.186842,18.45805556,53.5,225.0458333,0.181,12.944
2884.194569,8.881451613,54.77016129,233.7217742,0.181,12.944
2791.40949,6.096666667,42.07638889,217.4472222,0.181,12.944
3066.554187,0.197043011,48.17607527,224.5537634,0.181,12.944
1658.678336,1.691666667,37.93010753,204.0215054,0.752,12.071
1464.649145,0.061011905,51.19196429,181.8467262,0.752,12.071
1562.179427,4.350672043,50.60752688,219.4072581,0.752,12.071
1513.929737,5.442638889,56.03472222,199.3166667,0.752,12.071
1559.171657,14.06424731,44.78091398,244.1129032,0.752,12.071
1800.715847,21.35458333,37.57916667,305.2166667,0.752,12.071
1876.718549,22.26639785,49.41532258,272.4677419,0.752,12.071
1899.932441,22.61505376,42.75537634,222.2553763,0.752,12.071
1617.581043,18.45805556,53.5,225.0458333,0.752,12.071
1447.673026,8.881451613,54.77016129,233.7217742,0.752,12.071
1457.118,6.096666667,42.07638889,217.4472222,0.752,12.071
1755.70725,0.197043011,48.17607527,224.5537634,0.752,12.071
3098.536087,1.691666667,37.93010753,204.0215054,0.21,24.965
2708.589663,0.061011905,51.19196429,181.8467262,0.21,24.965
3031.879465,4.350672043,50.60752688,219.4072581,0.21,24.965
2928.910766,5.442638889,56.03472222,199.3166667,0.21,24.965
3210.041198,14.06424731,44.78091398,244.1129032,0.21,24.965
3606.07553,21.35458333,37.57916667,305.2166667,0.21,24.965
3770.579812,22.26639785,49.41532258,272.4677419,0.21,24.965
3815.93971,22.61505376,42.75537634,222.2553763,0.21,24.965
3309.60068,18.45805556,53.5,225.0458333,0.21,24.965
3004.675676,8.881451613,54.77016129,233.7217742,0.21,24.965
2909.852921,6.096666667,42.07638889,217.4472222,0.21,24.965
3174.461765,0.197043011,48.17607527,224.5537634,0.21,24.965
2012.851243,1.691666667,37.93010753,204.0215054,0.853,25.852
1770.696823,0.061011905,51.19196429,181.8467262,0.853,25.852
1920.743485,4.350672043,50.60752688,219.4072581,0.853,25.852
1854.429663,5.442638889,56.03472222,199.3166667,0.853,25.852
1960.662413,14.06424731,44.78091398,244.1129032,0.853,25.852
2234.803768,21.35458333,37.57916667,305.2166667,0.853,25.852
2321.304235,22.26639785,49.41532258,272.4677419,0.853,25.852
2362.615249,22.61505376,42.75537634,222.2553763,0.853,25.852
2021.931711,18.45805556,53.5,225.0458333,0.853,25.852
1820.547794,8.881451613,54.77016129,233.7217742,0.853,25.852
1810.433234,6.096666667,42.07638889,217.4472222,0.853,25.852
2091.060473,0.197043011,48.17607527,224.5537634,0.853,25.852
1793.386032,1.691666667,37.93010753,204.0215054,0.382,3.029
1570.028676,0.061011905,51.19196429,181.8467262,0.382,3.029
1691.765718,4.350672043,50.60752688,219.4072581,0.382,3.029
1651.623152,5.442638889,56.03472222,199.3166667,0.382,3.029
1710.087845,14.06424731,44.78091398,244.1129032,0.382,3.029
1967.375672,21.35458333,37.57916667,305.2166667,0.382,3.029
2058.439736,22.26639785,49.41532258,272.4677419,0.382,3.029
2071.000973,22.61505376,42.75537634,222.2553763,0.382,3.029
1779.02371,18.45805556,53.5,225.0458333,0.382,3.029
1598.174367,8.881451613,54.77016129,233.7217742,0.382,3.029
1591.615592,6.096666667,42.07638889,217.4472222,0.382,3.029
1891.586738,0.197043011,48.17607527,224.5537634,0.382,3.029
